Status,Symbol,Size,Open Date,Close Date,Open Time,Close Time,Setups,Mistakes,Entry Price,Exit Price,Return $,Return %,Avg Buy,Avg Sell,Net Return,Commision,Notes,Expire,Strike,Type,Side,Spread,Cost,Executions,Fees,Swap,Holdtime,Last Order,Portfolio,Position,Privacy,Return Share,Risk,MAE,MFE,Expectancy,R-Multiple,Best Exit $,Best Exit %
LOSS,SIDU,"7,000","Sep 12, 2025","Sep 12, 2025",17:23:30,18:27:04,,,$1.09,$1.09,-$29.95,-0.39%,$1.08857143,$1.08429286,-$94.11,$63,,,$0.00,SHARE,SHORT,SINGLE,"$7,590.05",136,$1.16,,01:03:34 hr,"Sep 12, 2025",center_points8387,,Public,-$0.004279,0,-249.95,240.05,,,240.05,3.16
LOSS,CHEK,400,"Sep 12, 2025","Sep 12, 2025",17:48:19,18:14:06,,,$2.34,$2.40,-$9.56,-1.03%,$2.3525,$2.3286,-$13.23,$3.60,,,$0.00,SHARE,SHORT,SINGLE,$931.44,10,$0.07,,25:47 min,"Sep 12, 2025",center_points8387,,Public,-$0.0239,0,-9.56,58.0,,,58.00,6.23
WIN,ATCH,"1,000","Sep 12, 2025","Sep 12, 2025",16:23:08,16:29:26,,,$0.4976,$0.484,$13.66,2.74%,$0.484,$0.49766,$4.49,$9,,,$0.00,SHARE,SHORT,SINGLE,$497.66,3,$0.17,$4.00,06:18 min,"Sep 12, 2025",center_points8387,,Public,$0.01366,0,-0.04,37.66,,,77.66,15.61
WIN,UK,100,"Sep 12, 2025","Sep 12, 2025",16:13:54,16:14:05,,,$1.49,$1.47,$2.00,1.34%,$1.47,$1.49,$1.08,$0.90,,,$0.00,SHARE,SHORT,SINGLE,$149.00,2,$0.02,,11 sec,"Sep 12, 2025",center_points8387,,Public,$0.02,0,-0.0,2.0,,,49.86,33.46
WIN,IHT,100,"Sep 12, 2025","Sep 12, 2025",16:00:48,16:02:40,,,$4.12,$2.95,$116.90,28.37%,$2.951,$4.12,$115.98,$0.90,,,$0.00,SHARE,SHORT,SINGLE,$412.00,3,$0.02,,01:52 min,"Sep 12, 2025",center_points8387,,Public,$1.17,0,-73.0,129.0,,,171.35,41.59
WIN,XHG,600,"Sep 12, 2025","Sep 12, 2025",13:16:10,14:22:25,,,$1.58,$1.47,$124.00,12.59%,$1.435,$1.64166667,$118.50,$5.40,,,$0.00,SHARE,SHORT,SINGLE,$985.00,12,$0.10,,01:06:15 hr,"Sep 12, 2025",center_points8387,,Public,$0.206667,0,-80.0,151.0,,,151.00,15.33
WIN,CNET,100,"Sep 12, 2025","Sep 12, 2025",11:01:55,11:04:15,,,$2.31,$2.09,$22.00,9.52%,$2.09,$2.31,$21.08,$0.90,,,$0.00,SHARE,SHORT,SINGLE,$231.00,3,$0.02,,02:20 min,"Sep 12, 2025",center_points8387,,Public,$0.22,0,-3.0,22.0,,,62.99,27.27
WIN,AGAE,"2,500","Sep 12, 2025","Sep 12, 2025",09:00:54,10:45:45,,,$1.76,$1.69,$576.36,11.10%,$1.846336,$2.07688,$553.45,$22.50,,,$0.00,SHARE,SHORT,SINGLE,"$5,192.20",63,$0.41,,01:44:51 hr,"Sep 12, 2025",center_points8387,,Public,$0.230544,0,-241.8,620.86,,,672.36,12.95
WIN,GCTK,250,"Sep 12, 2025","Sep 12, 2025",07:57:53,10:13:17,,,$12.25,$8.52,$714.00,23.59%,$9.25,$12.106,$709.91,$4.05,,,$0.00,SHARE,SHORT,SINGLE,"$3,026.50",11,$0.04,,02:15:24 hr,"Sep 12, 2025",center_points8387,,Public,$2.86,0,0.0,0.0,,,928.00,30.66
LOSS,WLDS,550,"Sep 12, 2025","Sep 12, 2025",08:50:42,10:11:05,,,$8.75,$10.48,-$235.50,-4.51%,$9.92181818,$9.49363636,-$242.12,$6.53,,,$0.00,SHARE,SHORT,SINGLE,"$5,221.50",17,$0.09,,01:20:23 hr,"Sep 12, 2025",center_points8387,,Public,-$0.428182,0,-235.5,7.0,,,7.00,0.13
WIN,PLRZ,"1,800","Sep 12, 2025","Sep 12, 2025",07:28:24,10:08:27,,,$1.43,$1.17,$183.00,6.88%,$1.37555556,$1.47722222,$166.50,$16.20,,,$0.00,SHARE,SHORT,SINGLE,"$2,659.00",44,$0.30,,02:40:03 hr,"Sep 12, 2025",center_points8387,,Public,$0.101667,0,-344.0,352.0,,,352.00,13.24
WIN,COCP,"2,400","Sep 12, 2025","Sep 12, 2025",08:22:40,09:53:18,,,$2.91,$1.70,$827.00,10.81%,$2.84375,$3.18833333,$805.00,$21.60,,,$0.00,SHARE,SHORT,SINGLE,"$7,652.00",57,$0.40,,01:30:38 hr,"Sep 12, 2025",center_points8387,,Public,$0.344583,0,-653.0,827.0,,,899.00,11.75
